headline,summary,source,link,word_count,scraped_at
Renewable energy hub planned for Scottish coal museum,There are plans to install solar panels on the roofs of buildings at Lady Victoria Colliery at Newtongrange.,BBC Science,https://www.bbc.com/news/articles/c809753gzv1o?at_medium=RSS&at_campaign=rss,8,2026-05-20 09:13:33
Rare plant makes comeback from brink of extinction,The Kentish milkwort has seen a seven-fold increase since conservation efforts in 2013.,BBC Science,https://www.bbc.com/news/articles/c4g0w899j5yo?at_medium=RSS&at_campaign=rss,8,2026-05-20 09:13:33
Massive Alaska megatsunami was second largest ever recorded,New research suggests glacier melt driven by climate change is increasing the risk of giant waves.,BBC Science,https://www.bbc.com/news/articles/c1m253033m4o?at_medium=RSS&at_campaign=rss,8,2026-05-20 09:13:33
Is this the real face of Anne Boleyn?,A computer science team believes they have discovered a previously unknown sketch of King Henry VIII's second wife - but not everyone is convinced.,BBC Science,https://www.bbc.com/news/articles/cp9pz53e891o?at_medium=RSS&at_campaign=rss,8,2026-05-20 09:13:33
How to see the Eta Aquariid meteor shower,How to see the Eta Aquariid meteor shower,BBC Science,https://www.bbc.com/news/videos/c4g9p39wq91o?at_medium=RSS&at_campaign=rss,8,2026-05-20 09:13:33
Is this actually what Anne Boleyn looked like?,An algorithm has suggested images of what were thought to be Anne Boleyn might not be.,BBC Science,https://www.bbc.com/news/videos/c3d2e581k7do?at_medium=RSS&at_campaign=rss,8,2026-05-20 09:13:33
BBC confirms new Strictly Come Dancing hosts,"The trio replace Tess Daly and Claudia Winkleman, who left the BBC dance competition last year.",BBC Top Stories,https://www.bbc.com/news/articles/cgep5ez80rzo?at_medium=RSS&at_campaign=rss,7,2026-05-20 09:13:33
Animal park welcomes four Sumatran tiger cubs,"There are fewer than 400 of Sumatran tigers left in the wild, according to the park.",BBC Science,https://www.bbc.com/news/articles/c1w29n4z44lo?at_medium=RSS&at_campaign=rss,7,2026-05-20 09:13:33
Anti-government demonstrators and police clash in Bolivia,Protesters have been calling for the president to resign after weeks-long unrest.,BBC World,https://www.bbc.com/news/videos/cx21349w77go?at_medium=RSS&at_campaign=rss,7,2026-05-20 09:13:33
Europe's oldest science park could be redeveloped,"Cambridge Science Park submits plans which could create 20,000 jobs and new public spaces.",BBC Science,https://www.bbc.com/news/articles/c8d8rddp1vqo?at_medium=RSS&at_campaign=rss,7,2026-05-20 09:13:33
What really holds China and Russia together,"The relationship endures despite a power imbalance, with both sides recognising that it is too important to fail.",BBC World,https://www.bbc.com/news/articles/c4g8kpkjkl0o?at_medium=RSS&at_campaign=rss,7,2026-05-20 09:13:33
Southampton expelled from play-offs for spying,Southampton have been thrown out of the play-offs after admitting they spied on three clubs during the Championship season.,BBC Top Stories,https://www.bbc.com/sport/football/articles/cwy2pnpqjl7o?at_medium=RSS&at_campaign=rss,6,2026-05-20 09:13:33
Uncontrolled California wildfires seen from space,Some 750 firefighters are tackling the uncontrolled blazes supported by water-dropping helicopters.,BBC World,https://www.bbc.com/news/articles/cg4pn0e2yp6o?at_medium=RSS&at_campaign=rss,6,2026-05-20 09:13:33
"Lights, camera, Bangaranga: Highlights from Eurovision","Bulgarian singer Dara stormed to victory in the contest, while Ukraine broke the record for the longest note ever sung at Eurovision.",BBC World,https://www.bbc.com/news/videos/cj3pznr0zr4o?at_medium=RSS&at_campaign=rss,6,2026-05-20 09:13:33
